id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
2955088535.0,2955088535,KathlenelTloi,"Blountville, TN, USA",The official Twitter account of the United States Marine Corps. The appearance of links does not constitute endorsement.,None,20,1827,0,1/1/2015 16:51,312,False,387,en,None,False,False,False,Kathlene Turner,1
223277612.0,223277612,sukiebearz,"New York, NY","I don't know what the fuck I'm doing, but I'm doing it with enthusiasm.",https://t.co/t3fPLiV22u,79,244,0,12/5/2010 22:52,821,False,4018,en,"Status(contributors=None, truncated=False, text=u""RT @AmazingPhil: NEW VIDEO! Why I can't go back to the gym.. https://t.co/iyJykgPycY Please retweet for some healthy emojis \U0001f3cb\U0001f6b4\U0001f3fc\u2728"", is_quote_status=False, in_reply_to_status_id=None, id=841379236069953536, favorite_count=0, _api=<tweepy.api.API object at 0x1014ef050>, source=u'Twitter for iPhone', _json={u'contributors': None, u'truncated': False, u'text': u""RT @AmazingPhil: NEW VIDEO! Why I can't go back to the gym.. https://t.co/iyJykgPycY Please retweet for some healthy emojis \U0001f3cb\U0001f6b4\U0001f3fc\u2728"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841379236069953536, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 14631115, u'indices': [3, 15], u'id_str': u'14631115', u'screen_name': u'AmazingPhil', u'name': u'Phil Lester'}], u'hashtags': [], u'urls': [{u'url': u'https://t.co/iyJykgPycY', u'indices': [61, 84], u'expanded_url': u'https://www.youtube.com/watch?v=sKERYPcEQ58&index=1&list=UUHUE4ypXKp7ZkmdWbGJNgJg', u'display_url': u'youtube.com/watch?v=sKERYP\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 9970, u'id_str': u'841379236069953536', u'favorited': False, u'retweeted_status': {u'contributors': None, u'truncated': False, u'text': u""NEW VIDEO! Why I can't go back to the gym.. https://t.co/iyJykgPycY Please retweet for some healthy emojis \U0001f3cb\U0001f6b4\U0001f3fc\u2728"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841379162128560128, u'favorite_count': 20231, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/iyJykgPycY', u'indices': [44, 67], u'expanded_url': u'https://www.youtube.com/watch?v=sKERYPcEQ58&index=1&list=UUHUE4ypXKp7ZkmdWbGJNgJg', u'display_url': u'youtube.com/watch?v=sKERYP\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 9970, u'id_str': u'841379162128560128', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Mon Mar 13 20:03:18 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Mon Mar 13 20:03:36 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}, coordinates=None, entities={u'symbols': [], u'user_mentions': [{u'id': 14631115, u'indices': [3, 15], u'id_str': u'14631115', u'screen_name': u'AmazingPhil', u'name': u'Phil Lester'}], u'hashtags': [], u'urls': [{u'url': u'https://t.co/iyJykgPycY', u'indices': [61, 84], u'expanded_url': u'https://www.youtube.com/watch?v=sKERYPcEQ58&index=1&list=UUHUE4ypXKp7ZkmdWbGJNgJg', u'display_url': u'youtube.com/watch?v=sKERYP\u2026'}]}, in_reply_to_screen_name=None, id_str=u'841379236069953536', retweet_count=9970, in_reply_to_user_id=None, favorited=False, retweeted_status=Status(contributors=None, truncated=False, text=u""NEW VIDEO! Why I can't go back to the gym.. https://t.co/iyJykgPycY Please retweet for some healthy emojis \U0001f3cb\U0001f6b4\U0001f3fc\u2728"", is_quote_status=False, in_reply_to_status_id=None, id=841379162128560128, favorite_count=20231, _api=<tweepy.api.API object at 0x1014ef050>, source=u'Twitter Web Client', _json={u'contributors': None, u'truncated': False, u'text': u""NEW VIDEO! Why I can't go back to the gym.. https://t.co/iyJykgPycY Please retweet for some healthy emojis \U0001f3cb\U0001f6b4\U0001f3fc\u2728"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841379162128560128, u'favorite_count': 20231, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/iyJykgPycY', u'indices': [44, 67], u'expanded_url': u'https://www.youtube.com/watch?v=sKERYPcEQ58&index=1&list=UUHUE4ypXKp7ZkmdWbGJNgJg', u'display_url': u'youtube.com/watch?v=sKERYP\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 9970, u'id_str': u'841379162128560128', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Mon Mar 13 20:03:18 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}, coordinates=None, entities={u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/iyJykgPycY', u'indices': [44, 67], u'expanded_url': u'https://www.youtube.com/watch?v=sKERYPcEQ58&index=1&list=UUHUE4ypXKp7ZkmdWbGJNgJg', u'display_url': u'youtube.com/watch?v=sKERYP\u2026'}]}, in_reply_to_screen_name=None, id_str=u'841379162128560128', retweet_count=9970, in_reply_to_user_id=None, favorited=False, source_url=u'http://twitter.com', geo=None, in_reply_to_user_id_str=None, possibly_sensitive=False, lang=u'en', created_at=datetime.datetime(2017, 3, 13, 20, 3, 18), in_reply_to_status_id_str=None, place=None, retweeted=False), source_url=u'http://twitter.com/download/iphone', geo=None, in_reply_to_user_id_str=None, possibly_sensitive=False, lang=u'en', created_at=datetime.datetime(2017, 3, 13, 20, 3, 36), in_reply_to_status_id_str=None, place=None, retweeted=False)",False,False,False,SukieBearz,0
8.17e+17,8.17E+17,SivaNagarjuna14,"New York, NY","""""",None,15,83,0,1/4/2017 17:23,0,False,1,en,"{'created_at': 'Wed Jan 04 17:38:03 +0000 2017', 'id': 816700233602080768, 'id_str': '816700233602080768', 'text': '@msdhoni  greatest of all time.. https://t.co/9cXYIL6kKD', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msdhoni', 'name': 'Mahendra Singh Dhoni', 'id': 92708272, 'id_str': '92708272', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 816699272255000578, 'id_str': '816699272255000578', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/816699272255000578/pu/img/qEhpdj9r-GC3tVkC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/816699272255000578/pu/img/qEhpdj9r-GC3tVkC.jpg', 'url': 'https://t.co/9cXYIL6kKD', 'display_url': 'pic.twitter.com/9cXYIL6kKD', 'expanded_url': 'https://twitter.com/SivaNagarjuna14/status/816700233602080768/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 816699272255000578, 'id_str': '816699272255000578', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/816699272255000578/pu/img/qEhpdj9r-GC3tVkC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/816699272255000578/pu/img/qEhpdj9r-GC3tVkC.jpg', 'url': 'https://t.co/9cXYIL6kKD', 'display_url': 'pic.twitter.com/9cXYIL6kKD', 'expanded_url': 'https://twitter.com/SivaNagarjuna14/status/816700233602080768/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 52886, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/816699272255000578/pu/vid/640x360/NCJJ8pWlN02yNlls.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/816699272255000578/pu/pl/_xquuEjpjDIXsE6_.m3u8'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/816699272255000578/pu/vid/1280x720/261AiI5GrY_bV1yc.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/816699272255000578/pu/vid/320x180/kZQNrKcKi3bLTaHS.mp4'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': 92708272, 'in_reply_to_user_id_str': '92708272', 'in_reply_to_screen_name': 'msdhoni', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,True,False,Siva Nagarjuna,0
42282273.0,42282273,guillermomayuri,Lima,DirComConnected /AlwaysOn/,None,132,538,0,5/24/2009 21:10,25,False,25,es,"Status(contributors=None, truncated=False, text=u'A CV also needs the WOW factor... https://t.co/DSKraYn5HQ', is_quote_status=True, in_reply_to_status_id=None, id=840209835555717125, favorite_count=0, _api=<tweepy.api.API object at 0x10cba3290>, source=u'Twitter Web Client', quoted_status_id=840201582805377025, _json={u'contributors': None, u'truncated': False, u'text': u'A CV also needs the WOW factor... https://t.co/DSKraYn5HQ', u'is_quote_status': True, u'in_reply_to_status_id': None, u'id': 840209835555717125, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'quoted_status_id': 840201582805377025, u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DSKraYn5HQ', u'indices': [34, 57], u'expanded_url': u'https://twitter.com/businessinsider/status/840201582805377025', u'display_url': u'twitter.com/businessinside\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'840209835555717125', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Fri Mar 10 14:36:49 +0000 2017', u'quoted_status_id_str': u'840201582805377025', u'in_reply_to_status_id_str': None, u'place': None}, coordinates=None, entities={u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DSKraYn5HQ', u'indices': [34, 57], u'expanded_url': u'https://twitter.com/businessinsider/status/840201582805377025', u'display_url': u'twitter.com/businessinside\u2026'}]}, in_reply_to_screen_name=None, id_str=u'840209835555717125', retweet_count=0, in_reply_to_user_id=None, favorited=False, source_url=u'http://twitter.com', geo=None, in_reply_to_user_id_str=None, possibly_sensitive=False, lang=u'en', created_at=datetime.datetime(2017, 3, 10, 14, 36, 49), quoted_status_id_str=u'840201582805377025', in_reply_to_status_id_str=None, place=None, retweeted=False)",True,False,False,Guillermo Mayuri,0
2256099668.0,2256099668,PriceOfDogecoin,TO THE MOON!,Donations Appreciated : D7C1ELtowbSvzy1DoSMuq7tGijjG3X1g2d,None,1829,8,51,Sat Dec 21 06:49:02 +0000 2013,62,False,27851,en,"{'created_at': 'Sun Feb 14 00:45:14 +0000 2016', 'id': 698669292930224128, 'id_str': '698669292930224128', 'text': ""I'll try to get this thing working again. Obviously not quite on top of things."", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",True,False,False,The Price of DOGE,1
2273753949.0,2273753949,Goombot,World 1-1,Bringing you all the #GoombaNews as it happens.,None,887,0,14,Fri Jan 10 22:43:15 +0000 2014,20624,False,43512,en,"{u'contributors': None, u'truncated': False, u'text': u'Entering sleep mode', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 634486716091486217, u'favorite_count': 3, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'634486716091486217', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Thu Aug 20 22:06:35 +0000 2015', u'in_reply_to_status_id_str': None, u'place': None}",False,False,False,Goombot,1
2381877092.0,2381877092,worm_papers,Manchester,"Automated paper feed twitter bot for academics interested in parasitic worms, gut parasites and anthelminthics",None,273,0,19,3/10/2014 9:44,0,False,7507,en,Preface. https://t.co/RA5jrMAWXj,True,False,False,Helminth papers,1
8.25e+17,8.25E+17,GOOGLEPAGE11,"New York, USA","SAVE THOUSANDS OF DOLLARS, NO MORE GOOGLE PAID ADS!  MAKE MONEY ASAP, GET ON GOOGLE 1ST PAGE   GO TO : https://t.co/EmkPCfVwVK",None,122,821,0,Sat Jan 28 21:18:24 +0000 2017,3,False,16,en,"{""created_at"": ""Tue Mar 07 18:42:02 +0000 2017"", ""hashtags"": [], ""id"": 839184380077686785, ""id_str"": ""839184380077686785"", ""lang"": ""en"", ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""text"": ""WANT TO BE SEEN 1ST PLACE ON GOOGLE FOR REALLY NEXT TO NOTHING  START SELLING UR PRODUCTS OR SERVICES  NOW GO TO\u2026 https://t.co/3wT04qbgV6"", ""truncated"": true, ""urls"": [{""expanded_url"": ""https://twitter.com/i/web/status/839184380077686785"", ""url"": ""https://t.co/3wT04qbgV6""}], ""user_mentions"": []}",True,False,False,GOOGLE PAGE 1,0
3408893381.0,3408893381,IFClueBot,"New York, NY",Bot by @dswxyz generates NPC/Room/Item combos from selected interactive fiction games. 215 games so far and counting! #intfiction,https://t.co/zqpAmbvrZH,20,9,2,8/8/2015 17:19,0,False,2311,en,"{'created_at': 'Tue Mar 14 00:52:48 +0000 2017', 'id': 841452014089449476, 'id_str': '841452014089449476', 'text': 'Jim in the Tomb of the Unknown Tool with the chicken finger. () https://t.co/dCuowqVffR', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dCuowqVffR', 'expanded_url': 'http://ifdb.tads.org/viewgame?id=jd79rqenllnxny3', 'display_url': 'ifdb.tads.org/viewgame?id=jd…', 'indices': [64, 87]}]}, 'source': '<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,False,IF Clue Bot,1
7.95e+17,7.95E+17,GilgameshTweets,Uruk,"I destroyed Humbaba in the Cedar Forest, I slew lions in the mountain passes! _Í€__Í€__Í€__Í‹€_Í‹__Í‹__Íƒñ_Íƒ†_Í‰ì Bot by @PaulMMCooper that tweets in the style of the Gilgamesh Epic",https://t.co/LzvfZsy2Pl,79,80,3,Sat Nov 05 15:30:29 +0000 2016,23,False,901,en,"{'created_at': 'Mon Mar 13 19:00:34 +0000 2017', 'id': 841363373048619008, 'id_str': '841363373048619008', 'text': 'I saw Utnapishtim, god of sparrows and Enki taking there, in the house of prophecy.', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,Gilgamesh Bot,1
